logOut_medianTime,logOut_meanTime,logOut_stdTime,apiRequest_medianTime,apiRequest_meanTime,apiRequest_stdTime,totalTime,mode,actions,logIn_threads,logOut_threads,apiRequest_threads,repeat,logIn_medianTime,logIn_meanTime,logIn_stdTime
1312.0,10161.448,39511.886194975115,1459.0,7661.68,40115.748500421854,8911564,free,10,0,50,50,0,,,
,,,11241.5,296227.564,798063.2652820245,185592784,free,10,50,0,50,0,33225.5,74958.004,191680.3516593197
7560.0,33636.774,111729.4291728796,,,,73654045,free,10,50,50,0,0,14693.5,113671.316,297729.02897611825
1159.0,9279.206,64718.97995946437,1065.0,2871.744,26149.989622272395,6075475,free,10,0,50,50,1,,,
,,,11050.0,228861.866,713774.0273902672,190116342,free,10,50,0,50,1,32273.5,151370.818,411576.5894505668
15717.5,50726.038,140250.03629038914,,,,100749529,free,10,50,50,0,1,24299.5,150773.02,432654.8452318832
1435.0,187016.878,699460.3445492139,974.5,157747.26,607315.6809841278,172382069,free,10,0,50,50,2,,,
,,,9009.0,114058.57,412003.270085838,74941350,free,10,50,0,50,2,21128.5,35824.13,93737.8754201185
14256.5,305462.232,928009.4222678917,,,,181218904,free,10,50,50,0,2,18267.0,56975.576,152286.9230698565
1467.5,80255.242,368281.2747238881,1224.0,83185.776,482368.5248851479,81720509,free,10,0,50,50,3,,,
,,,9195.0,202011.646,632891.5540750562,147076767,free,10,50,0,50,3,46041.0,92141.888,267782.82423413394
13032.5,55337.552,193005.42093115655,,,,45366116,free,10,50,50,0,3,16544.5,35394.68,103978.44138986374
1425.0,3949.792,11106.999422394607,1335.5,8065.092,45549.63171819133,6007442,free,10,0,50,50,4,,,
,,,13447.0,590867.216,1513781.2080525798,388242170,free,10,50,0,50,4,43351.0,185617.124,647760.4736950347
12669.0,70874.506,277791.5953555513,,,,85686959,free,10,50,50,0,4,16006.0,100499.412,403162.9848565853
1417.0,5032.82,34899.778029503526,1816.0,116335.074,532204.792048824,60683947,free,10,0,50,50,5,,,
,,,10120.5,160341.09,639580.6936421216,109677070,free,10,50,0,50,5,26632.5,59013.05,148017.40948048688
3602.0,9536.982,27571.98797212755,,,,15894638,free,10,50,50,0,5,12031.5,22252.294,49988.95867331153
1585.0,87697.352,257233.94726535518,1254.0,35526.314,155982.8968184241,61611833,free,10,0,50,50,6,,,
,,,8670.0,870649.316,2564340.057977511,507775438,free,10,50,0,50,6,27371.5,144901.56,384477.86915883236
16995.5,805440.032,2356442.1510627572,,,,450223291,free,10,50,50,0,6,28515.0,95006.55,285803.51234182785
1278.5,6937.346,39270.71083182424,1006.5,4347.472,25348.73100121503,5642409,free,10,0,50,50,7,,,
,,,12001.0,732696.388,2239342.3220266053,404006665,free,10,50,0,50,7,36644.0,75316.942,199428.45659803113
15773.0,291962.496,897591.4643486094,,,,172107825,free,10,50,50,0,7,36374.5,52253.154,208870.75357287933
1206.5,354131.034,1220719.5409453772,1413.5,214901.554,821794.7963643784,284516294,free,10,0,50,50,8,,,
,,,8335.0,197511.918,708764.7448014964,146412143,free,10,50,0,50,8,17949.5,95312.368,364487.25045255217
15498.0,191643.856,711501.9475774218,,,,113413891,free,10,50,50,0,8,20390.0,35183.926,84855.34958699768
1579.0,127340.332,535119.1485884596,1291.5,88218.372,449205.0722030546,107779352,free,10,0,50,50,9,,,
,,,10163.5,410473.044,1193905.7936959632,244226076,free,10,50,0,50,9,17807.5,77979.108,241215.71432454922
10874.5,22643.52,59598.2196775631,,,,36096188,free,10,50,50,0,9,9950.0,49548.856,166439.08405789587
5257.5,521387.558,1860699.4731057002,3458.5,609659.232,2126938.1747651086,565523395,lazy,10,0,50,50,0,,,
,,,6698.5,13939.502,75552.38037461518,48906209,lazy,10,50,0,50,0,6891.5,83872.916,323154.8295702636
10016.5,14827.218,31362.198780173723,,,,23238562,lazy,10,50,50,0,0,10808.0,31649.906,126094.9809411233
1640.0,2758.834,11964.35967108655,4874.5,51918.346,356022.21476112574,27338590,lazy,10,0,50,50,1,,,
,,,6277.5,75102.01,525693.445184821,175404208,lazy,10,50,0,50,1,7627.0,275706.406,1026155.7628171988
5906.0,10766.264,41498.022774955985,,,,22032111,lazy,10,50,50,0,1,7684.0,33297.958,134716.57464796974
2091.5,76995.25,465299.8164515038,1477.0,181305.944,799571.0916648858,129150597,lazy,10,0,50,50,2,,,
,,,8050.0,12785.282,38052.293213893805,42035006,lazy,10,50,0,50,2,14844.5,71284.73,226947.39864074384
6675.0,14144.898,66637.62119019084,,,,44510441,lazy,10,50,50,0,2,11920.5,74875.984,285611.64763208444
2135.5,34145.3,156333.49629240696,2784.5,51248.27,197859.10499633066,42696785,lazy,10,0,50,50,3,,,
,,,7479.5,17663.12,92211.40951793421,32172047,lazy,10,50,0,50,3,14867.5,46680.974,131834.42705127216
11675.5,24282.384,111010.7105791108,,,,56704149,lazy,10,50,50,0,3,9603.5,89125.914,303099.96870043885
2593.0,585031.076,1322027.4328493865,812.0,44830.314,380168.3749320403,314930695,lazy,10,0,50,50,4,,,
,,,11480.0,48778.74,223126.23668133595,105418194,lazy,10,50,0,50,4,25055.5,162057.648,430801.5231576113
8387.0,14127.948,67583.36717553264,,,,16698641,lazy,10,50,50,0,4,6973.5,19269.334,57761.511257757134
1853.0,4225.436,10816.242428980082,1839.0,8518.98,32031.92072446166,6372208,lazy,10,0,50,50,5,,,
,,,11165.0,18887.374,28168.35258314943,60838076,lazy,10,50,0,50,5,19183.5,102788.778,287386.4831589155
7319.0,12509.524,38310.88031081775,,,,14940302,lazy,10,50,50,0,5,8071.0,17371.08,52865.527127292444
2237.5,20140.126,113545.7486373548,753.0,2072.312,10621.567641972724,11106219,lazy,10,0,50,50,6,,,
,,,6505.5,19727.312,72880.80517764152,16442645,lazy,10,50,0,50,6,5764.5,13157.978,36236.170811160875
12225.0,18839.652,73789.30923393536,,,,56865585,lazy,10,50,50,0,6,9709.5,94891.518,322985.7823282599
3296.5,630659.458,1392235.1953262994,3070.0,569509.798,1326185.3337814906,600084628,lazy,10,0,50,50,7,,,
,,,5495.0,28074.078,133406.6577827112,33105150,lazy,10,50,0,50,7,11670.5,38136.222,116520.69943233742
5968.0,13830.082,50763.81732661973,,,,12132107,lazy,10,50,50,0,7,5530.5,10434.132,12892.519832439106
1785.5,5181.466,26241.606259201624,2486.5,4424.184,17675.863102405325,4802825,lazy,10,0,50,50,8,,,
,,,6355.5,7725.24,7326.624019932981,23731850,lazy,10,50,0,50,8,9106.0,39738.46,152375.22965892986
8222.0,14389.074,40969.04762690286,,,,26315693,lazy,10,50,50,0,8,7066.5,38242.312,273673.6375681337
1886.5,4895.144,16765.68392933915,1418.0,3096.504,11952.367492649424,3995824,lazy,10,0,50,50,9,,,
,,,19944.0,44201.81,209819.27971375055,39362163,lazy,10,50,0,50,9,8058.0,34522.516,159325.56547886488
9411.5,14319.174,46646.44797827272,,,,74609407,lazy,10,50,50,0,9,17332.0,134899.64,603827.6668003724
1963.0,32220.116,155967.1859815794,1147.0,1559.082,1391.8170168858355,16889599,optimistic,10,0,50,50,0,,,
,,,17010.0,30337.242,45351.209022594514,47605816,optimistic,10,50,0,50,0,22870.5,64874.39,232389.6347809108
7100.0,34038.258,139501.3379549669,,,,49085748,optimistic,10,50,50,0,0,7280.5,64133.238,199928.69116647675
1730.5,6081.294,46336.21955940816,1429.0,1663.166,1435.5026751297294,3872230,optimistic,10,0,50,50,1,,,
,,,8157.0,23545.872,67285.82682650983,18575045,optimistic,10,50,0,50,1,6243.5,13604.218,35092.84824722384
9286.5,24895.312,98618.62061110533,,,,40361841,optimistic,10,50,50,0,1,15697.5,55828.37,189634.92177671185
2158.0,5082.408,14228.784671925288,1486.0,4126.048,18140.019969301833,4604228,optimistic,10,0,50,50,2,,,
,,,21421.0,73951.668,359800.2036919703,59643320,optimistic,10,50,0,50,2,17650.5,45334.972,119631.94195722198
8471.5,16884.742,75837.1218804198,,,,32242569,optimistic,10,50,50,0,2,11580.5,47600.396,136380.02058244206
1354.0,2634.206,19373.568231267753,2931.0,6611.386,41076.43416520549,4622796,optimistic,10,0,50,50,3,,,
,,,10218.0,42620.452,182939.00705639916,84420997,optimistic,10,50,0,50,3,13882.5,126221.542,547192.6529299761
10468.5,24840.566,71611.2864351104,,,,21017282,optimistic,10,50,50,0,3,6771.0,17193.998,64975.69196864011
1862.5,5213.078,27755.392022317774,1386.0,3854.15,44672.859603004144,4533614,optimistic,10,0,50,50,4,,,
,,,9145.5,19234.786,63358.54080641726,24106169,optimistic,10,50,0,50,4,10513.0,28977.552,82390.20814436287
10110.5,23430.402,68932.8633532116,,,,17270357,optimistic,10,50,50,0,4,5792.0,11110.312,22994.896186848593
1977.0,27686.27,141579.35597929568,2049.5,23524.594,123277.45768219889,25605432,optimistic,10,0,50,50,5,,,
,,,14964.5,58926.39,327323.2372346722,290519225,optimistic,10,50,0,50,5,23362.0,522112.06,1557644.0491187768
8957.0,89314.74,304169.0390297029,,,,225055008,optimistic,10,50,50,0,5,3921.0,360795.276,972368.449295986
1914.5,7243.88,31421.960103263165,1675.5,1992.97,1676.181518232476,4618425,optimistic,10,0,50,50,6,,,
,,,21692.0,47735.244,114753.06127887924,52304183,optimistic,10,50,0,50,6,6924.0,56873.122,273142.47348224535
17397.0,96016.128,351171.86103384703,,,,57752798,optimistic,10,50,50,0,6,8294.0,19489.468,42452.515286579786
2336.5,239578.004,579089.2318583281,1577.0,29417.484,180105.5881810941,134497744,optimistic,10,0,50,50,7,,,
,,,12077.0,20070.884,48107.15328256754,56759973,optimistic,10,50,0,50,7,21131.0,93449.062,292350.3764692866
11004.5,16504.9,17806.91664423545,,,,40329166,optimistic,10,50,50,0,7,14292.0,64153.432,223991.8115248988
2139.0,152633.828,469564.7092119861,1215.5,7946.826,84858.95726814582,80290327,optimistic,10,0,50,50,8,,,
,,,17694.5,29651.318,39423.213509196066,70753654,optimistic,10,50,0,50,8,24487.5,111855.99,289861.6264309719
10550.5,17101.72,21342.016327222293,,,,29790690,optimistic,10,50,50,0,8,10673.0,42479.66,166644.79589340047
4056.0,36074.186,143497.5571525624,2992.0,56550.268,186408.84743575027,46312227,optimistic,10,0,50,50,9,,,
,,,12564.5,30453.8,100580.78248744924,40314864,optimistic,10,50,0,50,9,15386.5,50175.928,177600.03380642386
11411.5,36830.592,278927.9395788614,,,,81231112,optimistic,10,50,50,0,9,8310.0,125631.632,543493.9656777293
1021.0,4697.96,12068.196329514009,842.5,5040.14,32214.80291216663,4869050,fine-grained,10,0,50,50,0,,,
,,,248970.5,2868860.188,4331873.4718075935,2962156039,fine-grained,10,50,0,50,0,453236.0,3055451.89,4240119.64201812
2003676.5,4271115.022,4991323.151940435,,,,4060794463,fine-grained,10,50,50,0,0,3196311.0,3850473.904,3678012.935654129
1300.0,6924.624,46677.67836748289,17242.0,24543.676,22726.49487196287,15734150,fine-grained,10,0,50,50,1,,,
